Happy,Surprised,Bad,Fearful,Angry,Disgusted,Sad
Playful,Startled,Bored,Scared,Let down,Disapproving,Hurt
Content,Confused,Busy,Anxious,Humiliated,Dissapointed,Depressed
Interested,Amazed,Stressed,Insecure,Bitter,Awful,Guilty
Proud,Excited,Tired,Weak,Mad,Repelled,Despair
Accepted,Shocked,Indifferent,Rejected,Aggressive,Judgemental,Vulnerable
Powerful,Dismayed,Apathetic,Threatened,Frustrated,Embarassed,Lonely
Peaceful,Disillusioned,Pressured,Helpless,Distant,Appalled,Embarrassed
Trusting,Perplexed,Rushed,Frightened,Critical,Revolted,Disappointed
Optimistic,Astonished,Overwhelmed,Overwhelmed,Betrayed,Nauseated,Inferior
Aroused,Awe,Out of Control,Worried,Disrespected,Detestable,Empty
Cheeky,Eager,Sleepy,Inadequate,Disrespected,Horrified,Remorseful
Free,Energetic,Unfocused,Inferior,Ridiculed,Hesitant,Ashamed
Joyful,,,Worthless,Indignant,,Powerless
Curious,,,Insignificant,Violated,,Grief
Inquisitive,,,Excluded,Furious,,Fragile
Successful,,,Persecuted,Jealous,,Victimised
Confident,,,Nervous,Provoked,,Abandoned
Respected,,,Exposed,Hostile,,Isolated
Valued,,,,Infuriated,,
Courageous,,,,Annoyed,,
Creative,,,,Withdrawn,,
Loving,,,,Numb,,
Thankful,,,,Sceptical,,
Sensitive,,,,Dismissive,,
Intimate,,,,,,
Hopeful,,,,,,
Inspired,,,,,,
